iter	RMSE
0	1024705.718
1	986724.9451
2	950905.1062
3	913581.416
4	879997.8055
5	847742.0026
6	819493.1143
7	793823.5462
8	769993.8388
9	745198.0915
10	721324.1402
11	699874.2417
12	679269.6738
13	661488.7459
14	644621.7686
15	628405.2905
16	613675.2615
17	598816.0037
18	585080.3387
19	572768.8875
20	561295.3907
21	550388.0674
22	539349.2268
23	530472.8308
24	522278.6001
25	514342.3428
26	506538.3733
27	499153.9683
28	492149.9666
29	486001.4483
30	480136.5844
31	474726.9922
32	469457.1009
33	464949.3187
34	460216.6255
35	456400.1318
36	452791.3564
37	449166.7728
38	445796.4428
39	442558.2176
40	439544.8232
41	437195.2389
42	434625.142
43	432827.5285
44	430405.1894
45	428653.0699
46	426467.1258
47	424633.4625
48	422886.3864
49	421540.4566
50	420039.3041
51	418529.5171
52	417224.5843
53	416193.5814
54	414683.9119
55	413635.3961
56	412666.4576
57	411979.0617
58	410987.5736
59	410358.9073
60	409500.2789
61	408783.2157
62	408059.192
63	407297.3426
64	406591.751
65	406099.6419
66	405390.9991
67	404924.4746
68	403835.5787
69	403755.0176
70	403092.6923
71	401909.8536
72	401066.6599
73	400120.4559
74	399828.3287
75	398672.4095
76	397781.5655
77	397361.0327
78	396853.7379
79	396185.2922
80	395862.4051
81	395124.1612
82	394612.175
83	394310.9108
84	393895.3253
85	393645.3448
86	393424.6653
87	393054.2316
88	392622.0556
89	391961.2259
90	391852.3451
91	391639.4972
92	391554.503
93	390970.2598
94	390238.5961
95	390081.417
96	389876.0529
97	389543.2413
98	388916.695
99	388800.0623
100	388682.0045
101	388597.5412
102	388516.8225
103	388241.3561
104	387900.8267
105	387586.7957
106	387184.3857
107	387100.4709
108	386892.2504
109	386654.9269
110	386476.9028
111	386042.5306
112	385731.1149
113	384964.0062
114	384605.9228
115	384512.7997
116	384337.9562
117	384131.2198
118	383547.2536
119	383486.7031
120	383233.5079
121	383074.7844
122	382734.5848
123	382333.4755
124	382144.449
125	381967.4396
126	381726.4495
127	381505.1124
128	381424.8257
129	380471.0793
130	380343.2645
131	380149.8283
132	379898.8206
133	379625.9724
134	379393.7837
135	379176.9519
136	378253.0166
137	378023.2434
138	377968.7787
139	377810.221
140	377753.5771
141	377562.8464
142	377402.5693
143	377377.1822
144	377000.9911
145	376880.1893
146	376703.002
147	376582.1171
148	376448.6853
149	376362.9254
150	376046.3605
151	375718.0185
152	375551.1728
153	375090.8076
154	375061.4704
155	374668.2221
156	374211.1877
157	373733.7713
158	373484.986
159	373066.7652
160	372918.5917
161	372845.2932
162	372634.2522
163	372497.6911
164	372187.8543
165	371885.1898
166	371731.5217
167	371439.6648
168	371277.2122
169	371022.4057
170	370738.4215
171	370365.1898
172	369871.9044
173	369499.696
174	369252.4718
175	368889.5751
176	368633.3182
177	368405.2913
178	368234.4498
179	367791.7103
180	367608.8153
181	367450.7632
182	367207.848
183	366963.3437
184	366707.1218
185	366360.7222
186	366261.5558
187	366177.0317
188	366039.7672
189	365626.9592
190	365262.0513
191	365204.1335
192	365118.5874
193	364817.1938
194	364653.7935
195	364429.4823
196	364288.9231
197	363887.0774
198	363483.0407
199	363386.9025
200	363050.335
201	362710.7745
202	362594.4213
203	362491.0255
204	362391.1458
205	362337.5928
206	362130.7101
207	361942.9558
208	361621.8479
209	361271.3416
210	361153.9694
211	360921.3436
212	360644.7605
213	360531.7562
214	360432.1016
215	360352.3343
216	360181.6066
217	360105.2498
218	359893.633
219	359698.1474
220	359400.7234
221	359232.8862
222	358952.3576
223	358651.3606
224	358343.7554
225	358192.5445
226	358052.4955
227	357842.4714
228	357642.3107
229	357364.8475
230	357269.6361
231	356927.5707
232	356834.6112
233	356762.4375
234	356543.604
235	356095.3642
236	355922.7015
237	355607.4844
238	355469.0704
239	355273.6503
240	355115.2424
241	354904.9242
242	354726.1866
243	354475.6779
244	354342.1237
245	354172.1305
246	353911.1396
247	353843.2732
248	353736.1024
249	353581.8793
250	353426.9217
251	353325.9373
252	353229.7564
253	353130.9947
254	353071.6852
255	352882.357
256	352762.5713
257	352556.4514
258	352316.8455
259	352204.1338
260	351956.5138
261	351756.8514
262	351640.445
263	351453.6541
264	351106.9243
265	351016.947
266	350841.0415
267	350746.9111
268	350661.2915
269	350612.696
270	350578.9806
271	350472.1979
272	350237.5203
273	350072.092
274	349915.061
275	349726.2238
276	349557.054
277	349439.6521
278	349351.0501
279	349264.827
280	349126.813
281	349035.7547
282	348894.5934
283	348634.8021
284	348510.3192
285	348444.94
286	348175.6916
