iter	Passed	Remaining
0	4	4645
1	8	4334
2	13	4598
3	17	4437
4	21	4364
5	26	4354
6	30	4303
7	34	4247
8	38	4194
9	42	4160
10	45	4127
11	49	4102
12	53	4067
13	57	4040
14	61	4019
15	65	3999
16	68	3989
17	73	3984
18	76	3969
19	80	3956
20	84	3944
21	88	3928
22	92	3915
23	95	3903
24	100	3913
25	104	3906
26	108	3893
27	111	3884
28	115	3871
29	119	3861
30	123	3850
31	126	3840
32	131	3839
33	134	3833
34	138	3829
35	142	3827
36	146	3823
37	150	3816
38	154	3808
39	158	3803
40	162	3795
41	166	3788
42	169	3780
43	174	3781
44	177	3776
45	181	3769
46	185	3765
47	189	3760
48	193	3752
49	197	3745
50	201	3741
51	205	3739
52	208	3733
53	212	3727
54	216	3719
55	220	3724
56	224	3718
57	228	3712
58	232	3705
59	236	3697
60	239	3694
61	243	3690
62	247	3684
63	251	3681
64	255	3678
65	259	3676
66	263	3670
67	267	3668
68	271	3662
69	273	3633
70	277	3628
71	281	3623
72	284	3618
73	288	3614
74	292	3610
75	296	3605
76	300	3600
77	304	3596
78	308	3593
79	312	3589
80	315	3583
81	319	3577
82	323	3574
83	327	3573
84	331	3569
85	335	3564
86	339	3560
87	343	3555
88	346	3550
89	350	3545
90	354	3541
91	358	3537
92	362	3532
93	366	3527
94	369	3523
95	373	3520
96	378	3518
97	381	3514
98	385	3508
99	389	3503
100	393	3498
101	396	3493
102	400	3487
103	404	3484
104	408	3481
105	412	3481
106	416	3479
107	420	3475
108	425	3475
109	429	3474
110	433	3471
111	437	3468
112	441	3462
113	445	3459
114	448	3455
115	452	3450
116	456	3446
117	460	3441
118	464	3437
119	468	3434
120	472	3429
121	476	3426
122	479	3421
123	483	3416
124	487	3412
125	491	3408
126	495	3403
127	498	3398
128	502	3396
129	506	3391
130	510	3386
131	514	3383
132	518	3381
133	522	3376
134	526	3371
135	529	3366
136	533	3362
137	537	3358
138	541	3353
139	545	3352
140	549	3348
141	553	3343
142	557	3338
143	560	3334
144	564	3330
145	568	3326
146	572	3322
147	576	3318
148	580	3317
149	584	3313
150	588	3308
151	592	3306
152	597	3305
153	601	3302
154	604	3297
155	608	3293
156	612	3288
157	616	3283
158	620	3280
159	624	3276
160	628	3274
161	632	3269
162	635	3264
163	639	3260
164	643	3255
165	647	3251
166	650	3245
167	654	3240
168	658	3236
169	662	3232
170	666	3229
171	670	3226
172	674	3223
173	678	3218
174	682	3215
175	685	3211
176	689	3207
177	693	3202
178	697	3198
179	701	3194
180	705	3190
181	709	3186
182	712	3182
183	716	3179
184	720	3175
185	724	3171
186	728	3168
187	732	3165
188	736	3160
189	740	3156
190	744	3154
191	748	3151
192	752	3148
193	757	3145
194	761	3141
195	764	3137
196	768	3132
197	772	3129
198	776	3124
199	780	3120
200	783	3116
201	787	3112
202	791	3108
203	795	3104
204	799	3100
205	803	3096
206	807	3092
207	811	3088
208	814	3084
209	818	3080
210	822	3076
211	826	3072
212	830	3067
213	834	3064
214	837	3059
215	842	3056
216	846	3053
217	850	3051
218	854	3046
219	858	3042
220	861	3037
221	865	3033
222	869	3029
223	873	3027
224	878	3024
225	881	3020
226	885	3016
227	889	3011
228	893	3008
229	897	3005
230	901	3001
231	905	2997
232	909	2995
233	913	2991
234	918	2988
235	922	2985
236	926	2981
237	929	2977
238	933	2972
239	937	2969
240	941	2965
241	945	2962
242	949	2958
243	953	2954
244	957	2950
245	961	2945
246	965	2943
247	970	2943
248	975	2942
249	979	2938
250	983	2935
251	987	2932
252	991	2928
253	995	2924
254	999	2920
255	1003	2916
256	1007	2912
257	1011	2907
258	1014	2903
259	1018	2899
260	1022	2895
261	1026	2890
262	1030	2887
263	1034	2882
264	1037	2878
265	1041	2874
266	1045	2871
267	1049	2866
268	1053	2862
269	1057	2859
270	1061	2854
271	1065	2850
272	1068	2846
273	1073	2843
274	1077	2841
275	1082	2839
276	1086	2835
277	1090	2831
278	1094	2827
279	1098	2823
280	1102	2820
281	1106	2816
282	1109	2811
283	1113	2807
284	1117	2804
285	1121	2799
286	1125	2796
287	1129	2791
288	1133	2787
289	1136	2783
290	1140	2779
291	1144	2775
292	1148	2771
293	1152	2767
294	1156	2762
295	1159	2758
296	1163	2754
297	1167	2750
298	1171	2746
299	1175	2742
300	1180	2741
301	1184	2736
302	1188	2732
303	1191	2728
304	1196	2726
305	1200	2722
306	1204	2718
307	1208	2714
308	1212	2710
309	1215	2706
310	1220	2702
311	1223	2698
312	1227	2694
313	1231	2689
314	1235	2685
315	1238	2681
316	1242	2677
317	1246	2672
318	1250	2669
319	1254	2664
320	1257	2660
